"Position (m) Run #1","Linear Speed (m/s) Run #1","Position (m) Run #2","Linear Speed (m/s) Run #2","Position (m) Run #3","Linear Speed (m/s) Run #3","Position (m) Run #4","Linear Speed (m/s) Run #4","Position (m) Run #5","Linear Speed (m/s) Run #5","Position (m) Run #6","Linear Speed (m/s) Run #6","Position (m) Run #7","Linear Speed (m/s) Run #7","Position (m) Run #8","Linear Speed (m/s) Run #8","Position (m) Run #9","Linear Speed (m/s) Run #9","Position (m) Run #10","Linear Speed (m/s) Run #10","Position (m) Run #11","Linear Speed (m/s) Run #11"
0.015,0.127,0.015,0.217,0.015,0.312,0.015,0.191,0.015,0.174,0.015,0.104,0.015,0.257,0.015,0.145,0.015,0.130,0.015,0.195,0.015,0.190
0.030,0.209,0.030,0.273,0.030,0.354,0.030,0.246,0.030,0.237,0.030,0.202,0.030,0.306,0.030,0.217,0.030,0.211,0.030,0.253,0.030,0.248
0.045,0.264,0.045,0.319,0.045,0.389,0.045,0.296,0.045,0.289,0.045,0.257,0.045,0.348,0.045,0.273,0.045,0.267,0.045,0.298,0.045,0.298
0.060,0.309,0.060,0.355,0.060,0.421,0.060,0.339,0.060,0.331,0.060,0.304,0.060,0.385,0.060,0.319,0.060,0.310,0.060,0.341,0.060,0.340
0.075,0.349,0.075,0.390,0.075,0.453,0.075,0.376,0.075,0.368,0.075,0.347,0.075,0.417,0.075,0.356,0.075,0.353,0.075,0.378,0.075,0.376
0.090,0.386,0.090,0.425,0.090,0.480,0.090,0.408,0.090,0.403,0.090,0.384,0.090,0.447,0.090,0.392,0.090,0.391,0.090,0.411,0.090,0.410
0.105,0.420,0.105,0.457,0.105,0.509,0.105,0.441,0.105,0.435,0.105,0.414,0.105,0.478,0.105,0.426,0.105,0.423,0.105,0.440,0.105,0.443
0.120,0.450,0.120,0.484,0.120,0.535,0.120,0.472,0.120,0.466,0.120,0.445,0.120,0.506,0.120,0.456,0.120,0.454,0.120,0.469,0.120,0.473
0.135,0.479,0.135,0.510,0.135,0.557,0.135,0.501,0.135,0.492,0.135,0.477,0.135,0.532,0.135,0.483,0.135,0.484,0.135,0.497,0.135,0.498
0.150,0.506,0.150,0.536,0.150,0.582,0.150,0.527,0.150,0.518,0.150,0.504,0.150,0.554,0.150,0.511,0.150,0.511,0.150,0.525,0.150,0.525
0.165,0.532,0.165,0.561,0.165,0.603,0.165,0.552,0.165,0.545,0.165,0.530,0.165,0.577,0.165,0.537,0.165,0.538,0.165,0.546,0.165,0.549
0.180,0.556,0.180,0.584,0.180,0.628,0.180,0.577,0.180,0.568,0.180,0.551,0.180,0.600,0.180,0.561,0.180,0.561,0.180,0.569,0.180,0.573
0.195,0.577,0.195,0.606,0.195,0.649,0.195,0.598,0.195,0.592,0.195,0.577,0.195,0.622,0.195,0.584,0.195,0.585,0.195,0.591,0.195,0.597
0.210,0.601,0.210,0.627,0.210,0.667,0.210,0.627,0.210,0.616,0.210,0.601,0.210,0.645,0.210,0.608,0.210,0.606,0.210,0.613,0.210,0.618
0.225,0.622,0.225,0.646,0.225,0.684,0.225,0.631,0.225,0.634,0.225,0.623,0.225,0.664,0.225,0.627,0.225,0.630,0.225,0.635,0.225,0.639
0.240,0.645,0.240,0.668,0.240,0.704,0.240,0.669,0.240,0.654,0.240,0.644,0.240,0.683,0.240,0.648,0.240,0.650,0.240,0.655,0.240,0.658
0.255,0.665,0.255,0.689,0.255,0.721,0.255,0.673,0.255,0.675,0.255,0.660,0.255,0.700,0.255,0.667,0.255,0.669,0.255,0.676,0.255,0.677
0.270,0.683,0.270,0.708,0.270,0.742,0.270,0.704,0.270,0.695,0.270,0.681,0.270,0.720,0.270,0.688,0.270,0.686,0.270,0.693,0.270,0.698
