Force (N) Run #1,Position (m) Run #1,Force (N) Run #2,Position (m) Run #2,Force (N) Run #3,Position (m) Run #3,Force (N) Run #4,Position (m) Run #4,Force (N) Run #5,Position (m) Run #5,Force (N) Run #6,Position (m) Run #6,Force (N) Run #7,Position (m) Run #7,Force (N) Run #8,Position (m) Run #8,Force (N) Run #9,Position (m) Run #9,Force (N) Run #10,Position (m) Run #10
0.804,0.015,0.881,0.015,0.888,0.015,0.835,0.015,0.829,0.015,0.805,0.015,0.836,0.015,0.851,0.015,0.809,0.015,0.879,0.015
0.762,0.03,0.832,0.03,0.843,0.03,0.799,0.03,0.788,0.03,0.761,0.03,0.791,0.03,0.821,0.03,0.766,0.03,0.827,0.03
0.73,0.045,0.794,0.045,0.801,0.045,0.752,0.045,0.751,0.045,0.726,0.045,0.749,0.045,0.784,0.045,0.728,0.045,0.786,0.045
0.695,0.06,0.756,0.06,0.764,0.06,0.719,0.06,0.71,0.06,0.685,0.06,0.71,0.06,0.736,0.06,0.686,0.06,0.745,0.06
0.659,0.075,0.714,0.075,0.724,0.075,0.679,0.075,0.671,0.075,0.652,0.075,0.674,0.075,0.7,0.075,0.645,0.075,0.71,0.075
0.625,0.09,0.679,0.09,0.687,0.09,0.64,0.09,0.635,0.09,0.619,0.09,0.637,0.09,0.668,0.09,0.62,0.09,0.67,0.09
0.588,0.105,0.639,0.105,0.65,0.105,0.607,0.105,0.599,0.105,0.586,0.105,0.601,0.105,0.628,0.105,0.576,0.105,0.639,0.105
0.556,0.12,0.602,0.12,0.615,0.12,0.57,0.12,0.566,0.12,0.552,0.12,0.563,0.12,0.587,0.12,0.541,0.12,0.598,0.12
0.519,0.135,0.566,0.135,0.574,0.135,0.532,0.135,0.526,0.135,0.516,0.135,0.529,0.135,0.55,0.135,0.506,0.135,0.562,0.135
0.484,0.15,0.529,0.15,0.539,0.15,0.493,0.15,0.493,0.15,0.48,0.15,0.493,0.15,0.51,0.15,0.47,0.15,0.53,0.15
0.448,0.165,0.489,0.165,0.505,0.165,0.461,0.165,0.456,0.165,0.441,0.165,0.455,0.165,0.474,0.165,0.432,0.165,0.49,0.165
0.409,0.18,0.453,0.18,0.466,0.18,0.419,0.18,0.415,0.18,0.401,0.18,0.415,0.18,0.437,0.18,0.392,0.18,0.451,0.18
0.365,0.195,0.412,0.195,0.423,0.195,0.378,0.195,0.379,0.195,0.364,0.195,0.374,0.195,0.394,0.195,0.354,0.195,0.418,0.195
0.321,0.21,0.368,0.21,0.385,0.21,0.333,0.21,0.335,0.21,0.322,0.21,0.335,0.21,0.354,0.21,0.31,0.21,0.381,0.21
0.272,0.225,0.327,0.225,0.344,0.225,0.29,0.225,0.287,0.225,0.276,0.225,0.291,0.225,0.31,0.225,0.264,0.225,0.334,0.225
0.224,0.24,0.279,0.24,0.296,0.24,0.244,0.24,0.246,0.24,0.229,0.24,0.247,0.24,0.264,0.24,0.221,0.24,0.291,0.24
0.171,0.255,0.224,0.255,0.246,0.255,0.19,0.255,0.194,0.255,0.176,0.255,0.198,0.255,0.21,0.255,0.167,0.255,0.246,0.255
0.108,0.27,0.168,0.27,0.192,0.27,0.134,0.27,0.138,0.27,0.125,0.27,0.144,0.27,0.156,0.27,0.109,0.27,0.197,0.27
0.044,0.285,0.108,0.285,0.134,0.285,0.077,0.285,0.08,0.285,0.061,0.285,0.082,0.285,0.099,0.285,0.047,0.285,0.142,0.285
